skin_condition,food_type,food_name,reason,key_nutrients,is_vegan,allergen
수분(건성),추천,아보카도,불포화지방산이 피부 장벽을 강화하고 수분을 지켜줍니다,비타민E·불포화지방산,True,
수분(건성),추천,연어,오메가-3가 피부 보습막을 형성하고 염증을 가라앉힙니다,오메가-3·비타민D,False,
수분(건성),추천,고구마,베타카로틴이 피부 세포 재생을 돕고 수분 보유력을 높입니다,베타카로틴·비타민C,True,
수분(건성),추천,올리브오일,폴리페놀과 올레산이 피부 보습과 항산화 작용을 합니다,폴리페놀·올레산,True,
수분(건성),추천,호두,오메가-3와 비타민E가 피부 수분막 형성에 도움을 줍니다,오메가-3·비타민E,True,견과류
수분(건성),추천,달걀,레시틴이 피부 보습과 탄력 유지에 기여합니다,레시틴·비타민B,False,달걀
수분(건성),추천,두부,이소플라본이 피부 수분과 탄력 개선에 효과적입니다,이소플라본·단백질,True,대두
수분(건성),추천,블루베리,안토시아닌이 피부 보습과 항산화에 도움을 줍니다,안토시아닌·비타민C,True,
유분(지성),추천,브로콜리,비타민C와 설포라판이 피지 조절과 염증 완화에 효과적입니다,비타민C·설포라판,True,
유분(지성),추천,녹차,카테킨이 피지 분비를 억제하고 모공을 청결하게 합니다,카테킨·EGCG,True,
유분(지성),추천,레몬,비타민C가 피부 세포 재생과 피지 밸런스 조절을 돕습니다,비타민C·구연산,True,
유분(지성),추천,토마토,리코펜이 피지 산화를 막고 모공을 개선합니다,리코펜·비타민C,True,
유분(지성),추천,청국장,프로바이오틱스가 장내 환경을 개선해 피지 조절에 도움을 줍니다,프로바이오틱스·이소플라본,True,대두
유분(지성),추천,귀리,베타글루칸이 장 건강을 돕고 피부 트러블을 줄여줍니다,베타글루칸·섬유질,True,
유분(지성),추천,아몬드,비타민E가 항산화 작용으로 여드름 흉터 개선에 도움을 줍니다,비타민E·마그네슘,True,견과류
유분(지성),추천,시금치,비타민A가 피지 조절과 피부 재생에 효과적입니다,비타민A·철분,True,
민감도,추천,캐모마일차,항염 성분이 피부 진정과 홍조 완화에 도움을 줍니다,아피게닌·항산화물질,True,
민감도,추천,연두부,이소플라본이 피부 장벽을 강화하고 자극을 줄여줍니다,이소플라본·단백질,True,대두
민감도,추천,쌀,자극이 적고 글루텐 프리라 민감한 피부에 적합합니다,복합탄수화물·비타민B,True,
민감도,추천,바나나,비타민B6가 피부 염증 반응을 조절하고 진정시킵니다,비타민B6·칼륨,True,
민감도,추천,올리브오일,스쿠알렌이 피부 장벽 보호와 자극 완화에 효과적입니다,스쿠알렌·폴리페놀,True,
민감도,추천,당근,베타카로틴이 피부 장벽을 강화하고 자극에 대한 저항력을 높입니다,베타카로틴·비타민A,True,
민감도,추천,사과,퀘르세틴이 항염 작용으로 피부 민감 반응을 줄여줍니다,퀘르세틴·비타민C,True,
민감도,추천,두유,칼슘과 이소플라본이 피부 면역력과 장벽 기능을 돕습니다,이소플라본·칼슘,True,대두
주름,추천,블루베리,안토시아닌이 콜라겐 분해를 막고 피부 탄력을 유지시킵니다,안토시아닌·비타민C,True,
주름,추천,연어,오메가-3가 피부 세포막을 강화해 주름 생성을 억제합니다,오메가-3·아스타잔틴,False,
주름,추천,석류,엘라그산이 콜라겐 합성을 촉진하고 피부 탄력을 개선합니다,엘라그산·비타민C,True,
